index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
92,LKPP,Lake Prespa,2018-11-01,2018-11-30,,,,,
93,LKPP,Lake Prespa,2018-12-01,2018-12-31,,,,,
94,LKPP,Lake Prespa,2019-01-01,2019-01-31,,,,,
95,LKPP,Lake Prespa,2019-02-01,2019-02-28,,,,,
96,LKPP,Lake Prespa,2019-03-01,2019-03-31,,,,,
97,LKPP,Lake Prespa,2019-04-01,2019-04-30,,,,,
98,LKPP,Lake Prespa,2019-05-01,2019-05-31,,,,,
99,LKPP,Lake Prespa,2019-06-01,2019-06-30,,,,,
100,LKPP,Lake Prespa,2019-07-01,2019-07-31,,,,,
101,LKPP,Lake Prespa,2019-08-01,2019-08-31,,,,,
102,LKPP,Lake Prespa,2019-09-01,2019-09-30,,,,,
103,LKPP,Lake Prespa,2019-10-01,2019-10-31,,,,,
104,LKPP,Lake Prespa,2019-11-01,2019-11-30,,,,,
105,LKPP,Lake Prespa,2019-12-01,2019-12-31,,,,,
106,LKPP,Lake Prespa,2020-01-01,2020-01-31,,,,,
107,LKPP,Lake Prespa,2020-02-01,2020-02-29,,,,,
108,LKPP,Lake Prespa,2020-03-01,2020-03-31,,,,,
109,LKPP,Lake Prespa,2020-04-01,2020-04-30,,,,,
110,LKPP,Lake Prespa,2020-05-01,2020-05-31,,,,,
111,LKPP,Lake Prespa,2020-06-01,2020-06-30,,,,,
112,LKPP,Lake Prespa,2020-07-01,2020-07-31,,,,,
113,LKPP,Lake Prespa,2020-08-01,2020-08-31,,,,,
114,LKPP,Lake Prespa,2020-09-01,2020-09-30,,,,,
115,LKPP,Lake Prespa,2020-10-01,2020-10-31,,,,,
116,LKPP,Lake Prespa,2020-11-01,2020-11-30,,,,,
117,LKPP,Lake Prespa,2020-12-01,2020-12-31,,,,,
118,LKPP,Lake Prespa,2021-01-01,2021-01-31,,,,,
119,LKPP,Lake Prespa,2021-02-01,2021-02-28,,,,,
120,LKPP,Lake Prespa,2021-03-01,2021-03-31,,,,,
121,LKPP,Lake Prespa,2021-04-01,2021-04-30,,,,,
122,LKPP,Lake Prespa,2021-05-01,2021-05-31,,,,,
123,LKPP,Lake Prespa,2021-06-01,2021-06-30,,,,,
124,LKPP,Lake Prespa,2021-07-01,2021-07-31,,,,,
125,LKPP,Lake Prespa,2021-08-01,2021-08-31,,,,,
126,LKPP,Lake Prespa,2021-09-01,2021-09-30,,,,,
127,LKPP,Lake Prespa,2021-10-01,2021-10-31,,,,,
128,LKPP,Lake Prespa,2021-11-01,2021-11-30,,,,,
129,LKPP,Lake Prespa,2021-12-01,2021-12-31,,,,,
130,LKPP,Lake Prespa,2022-01-01,2022-01-31,,,,,
