index,BCODE,Basin_Name,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,TULM,Tuloma,2008-06-30,2014-06-30,,,,,
1,TULM,Tuloma,2014-07-01,2018-06-30,,,,,
2,TULM,Tuloma,2018-07-01,2021-06-30,,,,,
3,TULM,Tuloma,2021-07-01,2023-07-01,,,,,
4,TULM,Tuloma,2023-07-02,2024-03-15,,,,,
