index,basin,start_date,end_date,time_duration,basin_count,over_one_thousand,file_name,finished
0,amur,1/1/2008,12/31/2013,,182,,ResultsList_aral_202207_result_min_1_result_max_182_start_date_1/1/2008_end_date_12/31/2013,1
1,amur,1/1/2013,12/31/2018,,,,,0
2,amur,1/1/2019,12/31/2022,,,,,0
3,last_column,00/00/0000,00/00/0000,,,,,2
